device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,flush_l2_cache
NVIDIA H20-3e,strided_copy,1.0,bfloat16,0.0340,0.0016,61.7390,4000.0000,1.54,True
NVIDIA H20-3e,strided_copy,2.0,bfloat16,0.0513,0.0011,81.8177,4000.0000,2.05,True
NVIDIA H20-3e,strided_copy,4.0,bfloat16,0.0811,0.0011,103.4915,4000.0000,2.59,True
NVIDIA H20-3e,strided_copy,6.0,bfloat16,0.1124,0.0011,111.9317,4000.0000,2.80,True
NVIDIA H20-3e,strided_copy,15.0,bfloat16,0.2506,0.0019,125.5158,4000.0000,3.14,True
NVIDIA H20-3e,strided_copy,30.0,bfloat16,0.4873,0.0019,129.1138,4000.0000,3.23,True
NVIDIA H20-3e,strided_copy,45.0,bfloat16,0.8090,0.0025,116.6490,4000.0000,2.92,True
NVIDIA H20-3e,strided_copy,60.0,bfloat16,1.7488,0.0140,71.9510,4000.0000,1.80,True
NVIDIA H20-3e,strided_copy,90.0,bfloat16,3.3894,0.0131,55.6861,4000.0000,1.39,True
NVIDIA H20-3e,strided_copy,120.0,bfloat16,4.7580,0.0066,52.8920,4000.0000,1.32,True
NVIDIA H20-3e,strided_copy,240.0,bfloat16,10.0238,0.0234,50.2121,4000.0000,1.26,True
NVIDIA H20-3e,strided_copy,256.0,bfloat16,10.7840,0.0284,49.7842,4000.0000,1.24,True
NVIDIA H20-3e,strided_copy,512.0,bfloat16,21.8427,0.0708,49.1580,4000.0000,1.23,True
NVIDIA H20-3e,strided_copy,1024.0,bfloat16,43.5796,0.1243,49.2773,4000.0000,1.23,True
