device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,5000,1,mxfp8,5000,4096,4096,0.4000,0.0011,419.4136,500.0000,83.88,195.5352,14.55
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,5000,1,mxfp8,625,6144,4096,0.1163,0.0005,270.4374,500.0000,54.09,304.3829,22.65
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,5000,1,mxfp8,625,4096,3072,0.0689,0.0008,228.2954,500.0000,45.66,284.8193,21.19
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,8192,1,mxfp8,8192,6144,4096,0.9098,0.0037,453.1831,500.0000,90.64,175.1806,13.03
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,8192,1,mxfp8,8192,4096,4096,0.6204,0.0022,443.0428,500.0000,88.61,189.2883,14.08
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,8192,1,mxfp8,1024,6144,4096,0.1466,0.0011,351.6238,500.0000,70.32,286.1522,21.29
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,8192,1,mxfp8,1024,4096,3072,0.0909,0.0010,283.4588,500.0000,56.69,265.2812,19.74
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,1,1,nvfp4,1,6144,4096,0.0377,0.0019,1.3352,5.3699,24.86,334.1800,24.86
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,1,1,nvfp4,1,4096,4096,0.0355,0.0012,0.9455,5.3694,17.61,236.6673,17.61
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,1,1,nvfp4,1,6144,4096,0.0367,0.0014,1.3731,5.3699,25.57,343.6613,25.57
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,1,1,nvfp4,1,4096,3072,0.0301,0.0012,0.8366,5.3677,15.59,209.4809,15.59
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,2,1,nvfp4,2,6144,4096,0.0372,0.0010,2.7060,10.7276,25.22,339.0211,25.22
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,2,1,nvfp4,2,4096,4096,0.0357,0.0006,1.8792,10.7258,17.52,235.4695,17.52
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,2,1,nvfp4,1,6144,4096,0.0368,0.0017,1.3683,5.3699,25.48,342.4654,25.48
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,2,1,nvfp4,1,4096,3072,0.0303,0.0007,0.8296,5.3677,15.45,207.7131,15.45
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,3,1,nvfp4,3,6144,4096,0.0371,0.0004,4.0713,16.0731,25.33,340.4314,25.33
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,3,1,nvfp4,3,4096,4096,0.0349,0.0009,2.8807,16.0692,17.93,240.9377,17.93
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,3,1,nvfp4,1,6144,4096,0.0376,0.0009,1.3380,5.3699,24.92,334.8907,24.92
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,3,1,nvfp4,1,4096,3072,0.0299,0.0009,0.8429,5.3677,15.70,211.0525,15.70
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,4,1,nvfp4,4,6144,4096,0.0373,0.0010,5.4027,21.4064,25.24,339.2082,25.24
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,4,1,nvfp4,4,4096,4096,0.0357,0.0009,3.7600,21.3995,17.57,236.1488,17.57
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,4,1,nvfp4,1,6144,4096,0.0366,0.0013,1.3755,5.3699,25.61,344.2624,25.61
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,4,1,nvfp4,1,4096,3072,0.0302,0.0005,0.8322,5.3677,15.50,208.3725,15.50
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,8,1,nvfp4,8,6144,4096,0.0366,0.0011,11.0039,42.6195,25.82,347.0048,25.82
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,8,1,nvfp4,8,4096,4096,0.0351,0.0019,7.6538,42.5921,17.97,241.5183,17.97
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,8,1,nvfp4,1,6144,4096,0.0380,0.0012,1.3251,5.3699,24.68,331.6462,24.68
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,8,1,nvfp4,1,4096,3072,0.0303,0.0007,0.8313,5.3677,15.49,208.1522,15.49
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,16,1,nvfp4,16,6144,4096,0.0369,0.0004,21.8169,84.4761,25.83,347.1036,25.83
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,16,1,nvfp4,16,4096,4096,0.0357,0.0008,15.0536,84.3682,17.84,239.8062,17.84
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,16,1,nvfp4,2,6144,4096,0.0373,0.0006,2.6967,10.7276,25.14,337.8585,25.14
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,16,1,nvfp4,2,4096,3072,0.0307,0.0006,1.6401,10.7189,15.30,205.6476,15.30
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,32,1,nvfp4,32,6144,4096,0.0369,0.0006,43.6717,165.9806,26.31,353.6243,26.31
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,32,1,nvfp4,32,4096,4096,0.0357,0.0006,30.0937,165.5646,18.18,244.2906,18.18
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,32,1,nvfp4,4,6144,4096,0.0370,0.0006,5.4471,21.4064,25.45,341.9983,25.45
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_down,32,1,nvfp4,4,4096,3072,0.0298,0.0010,3.3771,21.3718,15.80,212.3714,15.80
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,QKV,64,1,nvfp4,64,6144,4096,0.0369,0.0014,87.3434,320.6810,27.24,366.0633,27.24
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Proj,64,1,nvfp4,64,4096,4096,0.0355,0.0007,60.5130,319.1318,18.96,254.8458,18.96
NVIDIA RTX PRO 5000 72GB Blackwell,HY-image-3.0,Moe_gate_up,64,1,nvfp4,8,6144,4096,0.0377,0.0010,10.6725,42.6195,25.04,336.5564,25.04
