device,model,workload,batch_size,tp,dtype,M,N,K,median_time_ms,std_time_ms,tflops,theory_tflops,mfu_pct,bandwidth_gbps,mbu_pct
Ascend950PR_957b,HY-image-3.0,Moe_down,4,1,mxfp8,1,4096,3072,0.0304,0.0017,0.8287,3.1971,25.92,414.7186,25.92
Ascend950PR_957b,HY-image-3.0,QKV,8,1,mxfp8,8,6144,4096,0.0432,0.0012,9.3245,25.4674,36.61,585.8136,36.61
Ascend950PR_957b,HY-image-3.0,Proj,8,1,mxfp8,8,4096,4096,0.0360,0.0017,7.4494,25.4509,29.27,468.3156,29.27
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,8,1,mxfp8,1,6144,4096,0.0431,0.0012,1.1670,3.1979,36.49,583.8811,36.49
Ascend950PR_957b,HY-image-3.0,Moe_down,8,1,mxfp8,1,4096,3072,0.0313,0.0013,0.8047,3.1971,25.17,402.6915,25.17
Ascend950PR_957b,HY-image-3.0,QKV,16,1,mxfp8,16,6144,4096,0.0436,0.0019,18.4623,50.6722,36.43,582.9562,36.43
Ascend950PR_957b,HY-image-3.0,Proj,16,1,mxfp8,16,4096,4096,0.0368,0.0013,14.5728,50.6069,28.80,460.7382,28.80
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,16,1,mxfp8,2,6144,4096,0.0435,0.0017,2.3161,6.3917,36.24,579.7911,36.24
Ascend950PR_957b,HY-image-3.0,Moe_down,16,1,mxfp8,2,4096,3072,0.0313,0.0022,1.6099,6.3886,25.20,403.1870,25.20
Ascend950PR_957b,HY-image-3.0,QKV,32,1,mxfp8,32,6144,4096,0.0434,0.0029,37.1100,100.3102,37.00,591.9244,37.00
Ascend950PR_957b,HY-image-3.0,Proj,32,1,mxfp8,32,4096,4096,0.0372,0.0018,28.8516,100.0550,28.84,461.3723,28.84
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,32,1,mxfp8,4,6144,4096,0.0449,0.0016,4.4875,12.7668,35.15,562.4028,35.15
Ascend950PR_957b,HY-image-3.0,Moe_down,32,1,mxfp8,4,4096,3072,0.0316,0.0018,3.1893,12.7543,25.01,400.0877,25.01
Ascend950PR_957b,HY-image-3.0,QKV,64,1,mxfp8,64,6144,4096,0.0447,0.0018,72.0527,196.6080,36.65,586.3666,36.65
Ascend950PR_957b,HY-image-3.0,Proj,64,1,mxfp8,64,4096,4096,0.0389,0.0015,55.1698,195.6299,28.20,451.2177,28.20
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,64,1,mxfp8,8,6144,4096,0.0429,0.0019,9.3906,25.4674,36.87,589.9669,36.87
Ascend950PR_957b,HY-image-3.0,Moe_down,64,1,mxfp8,8,4096,3072,0.0316,0.0015,6.3783,25.4180,25.09,401.4961,25.09
Ascend950PR_957b,HY-image-3.0,QKV,128,1,mxfp8,128,6144,4096,0.0476,0.0017,135.3897,378.0923,35.81,572.9382,35.81
Ascend950PR_957b,HY-image-3.0,Proj,128,1,mxfp8,128,4096,4096,0.0397,0.0017,108.0808,374.4914,28.86,461.7708,28.86
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,128,1,mxfp8,16,6144,4096,0.0441,0.0014,18.2686,50.6722,36.05,576.8399,36.05
Ascend950PR_957b,HY-image-3.0,Moe_down,128,1,mxfp8,16,4096,3072,0.0309,0.0030,13.0315,50.4770,25.82,413.0665,25.82
Ascend950PR_957b,HY-image-3.0,QKV,256,1,mxfp8,256,6144,4096,0.0530,0.0018,243.1366,702.1714,34.63,554.0222,34.63
Ascend950PR_957b,HY-image-3.0,Proj,256,1,mxfp8,256,4096,4096,0.0449,0.0017,191.3318,689.8526,27.74,443.7626,27.74
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,256,1,mxfp8,32,6144,4096,0.0463,0.0027,34.7940,100.3102,34.69,554.9819,34.69
Ascend950PR_957b,HY-image-3.0,Moe_down,256,1,mxfp8,32,4096,3072,0.0319,0.0012,25.2099,99.5484,25.32,405.1891,25.32
Ascend950PR_957b,HY-image-3.0,QKV,1024,1,mxfp8,1024,6144,4096,0.0962,0.0012,535.5293,800.0000,66.94,435.8149,27.24
Ascend950PR_957b,HY-image-3.0,Proj,1024,1,mxfp8,1024,4096,4096,0.0741,0.0021,463.5378,800.0000,57.94,396.0894,24.76
Ascend950PR_957b,HY-image-3.0,Moe_gate_up,1024,1,mxfp8,128,6144,4096,0.0478,0.0024,134.6441,378.0923,35.61,569.7830,35.61
