device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,MBU,flush_l2_cache
Ascend950PR_957b,strided_copy,1.0,bfloat16,0.1151,0.0027,18.2224,1600.0000,1.14,True
Ascend950PR_957b,strided_copy,2.0,bfloat16,0.1668,0.0019,25.1516,1600.0000,1.57,True
Ascend950PR_957b,strided_copy,4.0,bfloat16,0.2966,0.0016,28.2786,1600.0000,1.77,True
Ascend950PR_957b,strided_copy,11.2,bfloat16,0.8318,0.0023,28.2377,1600.0000,1.76,True
Ascend950PR_957b,strided_copy,28.0,bfloat16,2.0758,0.0025,28.2881,1600.0000,1.77,True
Ascend950PR_957b,strided_copy,56.0,bfloat16,4.2616,0.0031,27.5577,1600.0000,1.72,True
Ascend950PR_957b,strided_copy,84.0,bfloat16,6.6503,0.0296,26.4892,1600.0000,1.66,True
Ascend950PR_957b,strided_copy,112.0,bfloat16,20.3778,0.5091,11.5263,1600.0000,0.72,True
Ascend950PR_957b,strided_copy,168.0,bfloat16,57.7981,1.3096,6.0957,1600.0000,0.38,True
Ascend950PR_957b,strided_copy,224.0,bfloat16,92.3218,1.9497,5.0883,1600.0000,0.32,True
Ascend950PR_957b,strided_copy,256.0,bfloat16,110.6199,1.1279,4.8533,1600.0000,0.30,True
Ascend950PR_957b,strided_copy,448.0,bfloat16,214.0040,3.3795,4.3902,1600.0000,0.27,True
Ascend950PR_957b,strided_copy,512.0,bfloat16,242.2225,1.8708,4.4329,1600.0000,0.28,True
Ascend950PR_957b,strided_copy,1024.0,bfloat16,522.0681,6.0854,4.1134,1600.0000,0.26,True
