device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,flush_l2_cache
NVIDIA L20,strided_copy,384.0,float32,58.6481,0.6517,13.7312,864.0000,1.59,True
NVIDIA L20,strided_copy,512.0,float32,77.4666,0.5113,13.8607,864.0000,1.60,True
NVIDIA L20,strided_copy,1024.0,float32,153.8396,0.3116,13.9592,864.0000,1.62,True
NVIDIA L20,strided_copy,0.25,bfloat16,0.0297,0.0078,17.6362,864.0000,2.04,True
NVIDIA L20,strided_copy,0.5,bfloat16,0.0328,0.0030,32.0000,864.0000,3.70,True
NVIDIA L20,strided_copy,1.0,bfloat16,0.0410,0.0026,51.2000,864.0000,5.93,True
NVIDIA L20,strided_copy,2.0,bfloat16,0.0603,0.0012,69.5342,864.0000,8.05,True
NVIDIA L20,strided_copy,4.0,bfloat16,0.0942,0.0016,89.0435,864.0000,10.31,True
NVIDIA L20,strided_copy,9.6,bfloat16,0.2284,0.0060,88.1650,864.0000,10.20,True
NVIDIA L20,strided_copy,24.0,bfloat16,0.4388,0.0035,114.7113,864.0000,13.28,True
NVIDIA L20,strided_copy,48.0,bfloat16,0.8361,0.0056,120.3899,864.0000,13.93,True
NVIDIA L20,strided_copy,72.0,bfloat16,1.3455,0.0086,112.2192,864.0000,12.99,True
NVIDIA L20,strided_copy,96.0,bfloat16,4.7488,0.1571,42.3953,864.0000,4.91,True
NVIDIA L20,strided_copy,144.0,bfloat16,42.9041,0.1911,7.0387,864.0000,0.81,True
NVIDIA L20,strided_copy,192.0,bfloat16,60.2911,0.2751,6.6785,864.0000,0.77,True
NVIDIA L20,strided_copy,256.0,bfloat16,80.7941,0.2202,6.6449,864.0000,0.77,True
NVIDIA L20,strided_copy,384.0,bfloat16,120.8135,0.2814,6.6657,864.0000,0.77,True
NVIDIA L20,strided_copy,512.0,bfloat16,161.1909,0.3467,6.6613,864.0000,0.77,True
NVIDIA L20,strided_copy,1024.0,bfloat16,322.4878,0.4983,6.6591,864.0000,0.77,True
