device,pattern,size_mb,dtype,median_time_ms,std_time_ms,bandwidth_gbps,peak_bandwidth_gbps,utilization_pct,in_l2_cache
NVIDIA H20-3e,strided_copy,1.0,bfloat16,0.0346,0.0013,60.5973,4000.0000,1.51,True
NVIDIA H20-3e,strided_copy,2.0,bfloat16,0.0515,0.0010,81.5124,4000.0000,2.04,True
NVIDIA H20-3e,strided_copy,4.0,bfloat16,0.0818,0.0021,102.5803,4000.0000,2.56,True
NVIDIA H20-3e,strided_copy,6.0,bfloat16,0.0994,0.0014,126.5785,4000.0000,3.16,True
NVIDIA H20-3e,strided_copy,15.0,bfloat16,0.2252,0.0023,139.6860,4000.0000,3.49,True
NVIDIA H20-3e,strided_copy,30.0,bfloat16,0.4143,0.0023,151.8502,4000.0000,3.80,True
NVIDIA H20-3e,strided_copy,45.0,bfloat16,0.7832,0.0176,120.4977,4000.0000,3.01,True
NVIDIA H20-3e,strided_copy,60.0,bfloat16,1.4546,0.0413,86.5028,4000.0000,2.16,True
NVIDIA H20-3e,strided_copy,90.0,bfloat16,3.0994,0.0262,60.8970,4000.0000,1.52,False
NVIDIA H20-3e,strided_copy,120.0,bfloat16,4.6145,0.0140,54.5359,4000.0000,1.36,False
NVIDIA H20-3e,strided_copy,240.0,bfloat16,10.0359,0.0263,50.1515,4000.0000,1.25,False
NVIDIA H20-3e,strided_copy,256.0,bfloat16,10.7712,0.0289,49.8431,4000.0000,1.25,False
NVIDIA H20-3e,strided_copy,512.0,bfloat16,21.8422,0.0577,49.1591,4000.0000,1.23,False
NVIDIA H20-3e,strided_copy,1024.0,bfloat16,43.6208,0.1059,49.2307,4000.0000,1.23,False
